nx,ny,lat,lon,sand,silt,clay,slope,elev,MAT,MAP,pH,tot_OC,tot_N,s_type2_Acrisol,s_type2_Alisol,s_type2_Andosols,s_type2_Arenosol,s_type2_Cambisol,s_type2_Ferralsol,s_type2_Fluvisols,s_type2_Gleysol,s_type2_Lixisol,s_type2_Luvisol,s_type2_Nitisols,s_type2_Plinthosol,s_type2_Podzol,s_type2_Regosol,s_type2_Umbrisol
243,167,-6.2500,-58.2500,0.8152,0.0388,0.0060,0.4734,52.4425,26.1889,1957.4445,4.5940,1.0096,0.0685,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
244,167,-6.2500,-57.7500,0.2822,0.3197,0.2279,0.1472,18.8860,26.9029,1431.4286,4.5798,1.6524,0.1170,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
245,167,-6.2500,-57.2500,0.3500,0.3200,0.3300,0.0727,5.1185,27.2437,1770.2500,5.1000,0.6037,0.0779,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
225,168,-5.7500,-67.2500,0.2343,0.3251,0.4406,1.2147,120.9639,26.7556,2563.7222,3.7180,0.7342,0.0762,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
226,168,-5.7500,-66.7500,0.1300,0.3300,0.5400,4.2898,489.0142,24.3056,2805.6667,3.5000,0.7149,0.0687,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
227,168,-5.7500,-66.2500,0.1524,0.3192,0.5284,5.9402,754.9150,23.6083,2839.3333,3.5080,0.7144,0.0712,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
228,168,-5.7500,-65.7500,0.1753,0.3091,0.5156,5.9833,775.3414,24.3472,2745.2222,3.5380,0.7141,0.0731,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
229,168,-5.7500,-65.2500,0.3252,0.2660,0.4088,5.4513,898.6392,21.5667,3000.9443,4.2680,0.7153,0.0662,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
230,168,-5.7500,-64.7500,0.3577,0.3080,0.3343,4.0192,675.7317,25.5889,3176.0833,4.1290,0.7153,0.0662,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
231,168,-5.7500,-64.2500,0.2890,0.3292,0.3818,0.3208,299.4817,25.5833,3148.9443,3.8530,0.6345,0.0570,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
